Tournament;Date;Series;Surface;Round;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;B365W;B365L;EXW;EXL;LBW;LBL;PSW;PSL;SJW;SJL
Sony Ericsson Open;24/03/2010;Masters 1000;Hard;1st Round;Chardy J.;Ancic M.;48;441;885;73;6;4;6;4;;;;;;;2;0;1,9;1,8;1,9;1,85;1,83;1,83;2,14;1,813;2;1,727
Sony Ericsson Open;24/03/2010;Masters 1000;Hard;1st Round;Becker B.;Greul S.;39;55;981;779;6;3;6;2;;;;;;;2;0;1,66;2,1;1,65;2,15;1,727;2;1,794;2,16;1,727;2
Sony Ericsson Open;24/03/2010;Masters 1000;Hard;1st Round;Dent T.;Schuettler R.;83;87;596;575;6;1;6;4;;;;;;;2;0;1,66;2,1;1,65;2,15;1,667;2,1;1,8;2,15;1,667;2,1
Sony Ericsson Open;24/03/2010;Masters 1000;Hard;1st Round;Marchenko I.;Mathieu P.H.;85;44;594;910;6;3;7;6;;;;;;;2;0;2,37;1,53;2,15;1,65;2,2;1,615;2,33;1,694;2,25;1,571
Sony Ericsson Open;24/03/2010;Masters 1000;Hard;1st Round;Nalbandian D.;Kubot L.;161;43;300;912;6;3;6;2;;;;;;;2;0;1,4;2,75;1,4;2,8;1,4;2,75;1,465;2,97;1,364;2,875
Sony Ericsson Open;24/03/2010;Masters 1000;Hard;1st Round;Russell M.;Istomin D.;68;77;688;621;7;6;6;4;;;;;;;2;0;1,57;2,25;1,58;2,28;1,571;2,25;1,658;2,4;1,533;2,375
Sony Ericsson Open;24/03/2010;Masters 1000;Hard;1st Round;Blake J.;Krajinovic F.;52;331;835;122;6;7;6;4;6;4;;;;;2;1;1,06;8;1,07;7,5;1,071;7,5;1,074;11,25;1,071;7
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Luczak P.;Hernandez O.;75;81;627;608;6;3;7;6;;;;;;;2;0;1,16;4,5;1,23;3,89;1,2;4,333;1,217;5,05;1,222;3,75
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Falla A.;Hanescu V.;70;42;677;920;7;6;3;6;6;4;;;;;2;1;3;1,36;2,75;1,42;2,75;1,4;3,4;1,379;2,75;1,4
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Berrer M.;Lacko L.;51;62;842;725;7;5;4;6;6;3;;;;;2;1;1,61;2,2;1,65;2,15;1,727;2;1,621;2,48;1,727;2
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Zeballos H.;Seppi A.;58;47;756;900;7;6;6;2;;;;;;;2;0;2,5;1,5;2,35;1,55;2,5;1,5;2,52;1,606;2,375;1,533
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Anderson K.;Mello R.;114;106;464;498;6;3;6;1;;;;;;;2;0;1,66;2,1;1,7;2,1;1,727;2;1,676;2,36;1,667;2,1
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Sela D.;Korolev E.;71;56;675;768;6;3;6;3;;;;;;;2;0;2,37;1,53;2,45;1,5;2,25;1,571;2,41;1,654;2,5;1,5
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Lu Y.H.;Fognini F.;99;54;523;795;6;7;6;2;6;4;;;;;2;1;1,36;3;1,35;3,1;1,364;3;1,441;3,07;1,333;3
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Chela J.I.;Lorenzi P.;84;90;594;561;6;4;3;6;7;6;;;;;2;1;1,28;3,5;1,38;2,85;1,364;3;1,333;3,71;1,333;3
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Robert S.;Beck A.;63;50;720;875;7;5;6;4;;;;;;;2;0;1,53;2,37;1,5;2,45;1,571;2,25;1,641;2,44;1,533;2,375
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Lapentti N.;Starace P.;102;73;505;667;7;5;6;3;;;;;;;2;0;1,57;2,25;1,5;2,45;1,571;2,25;1,725;2,27;1,5;2,5
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Serra F.;Massu N.;61;89;735;562;6;4;6;4;;;;;;;2;0;1,36;3;1,42;2,75;1,444;2,625;1,483;2,9;1,444;2,625
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;De Bakker T.;Ram R.;76;80;623;610;6;4;7;5;;;;;;;2;0;1,22;4;;;1,286;3,5;1,274;4,26;1,364;2,875
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Petzschner P.;Sweeting R.;53;159;817;304;6;3;6;1;;;;;;;2;0;1,72;2;1,8;1,95;1,833;1,833;1,917;2,01;1,727;2
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Ilhan M.;Cuevas P.;125;46;423;901;6;2;6;2;;;;;;;2;0;1,83;1,83;1,8;1,95;1,833;1,833;2,02;1,909;1,833;1,833
Sony Ericsson Open;25/03/2010;Masters 1000;Hard;1st Round;Giraldo S.;Daniel M.;88;110;567;477;6;3;6;2;;;;;;;2;0;1,33;3,25;1,32;3,25;1,364;3;1,433;3,11;1,333;3
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;1st Round;Fish M.;Mayer L.;101;60;505;742;7;6;6;4;;;;;;;2;0;1,9;1,8;1,7;2,05;1,833;1,833;1,962;1,962;1,727;2
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Karlovic I.;Gimeno-Traver D.;29;108;1350;484;6;3;6;7;6;3;;;;;2;1;1,14;5;1,17;4,67;1,143;5;1,225;4,92;1,143;5
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Almagro N.;Schwank E.;38;64;1050;718;6;4;7;5;;;;;;;2;0;1,33;3,25;1,4;2,85;1,364;3;1,394;3,31;1,333;3
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Ferrer D.;Llodra M.;17;65;2045;702;6;2;6;4;;;;;;;2;0;1,28;3,5;1,35;3,1;1,333;3,25;1,308;3,92;1,286;3,25
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Rochus O.;Djokovic N.;59;2;754;8220;6;2;6;7;6;4;;;;;2;1;9;1,05;8,5;1,05;7,5;1,071;11,25;1,073;7;1,071
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Ferrero J.C.;Koellerer D.;14;97;2265;525;4;0;;;;;;;;;0;0;1,11;6;1,14;5,2;1,125;5,5;1,133;7,29;1,125;5,5
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Kohlschreiber P.;Mayer F.;33;49;1230;879;6;6;;;;;;;;;0;0;1,53;2,37;1,5;2,45;1,615;2,2;1,599;2,54;1,533;2,375
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Chardy J.;Querrey S.;48;25;885;1625;4;6;6;4;6;2;;;;;2;1;3,75;1,25;3,46;1,28;3,5;1,286;3,64;1,342;3,25;1,286
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Bellucci T.;Blake J.;32;52;1254;835;3;6;6;1;6;2;;;;;2;1;2,62;1,44;2,6;1,45;2,625;1,444;2,96;1,467;2,625;1,444
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Robredo T.;Marchenko I.;22;85;1685;594;6;3;4;6;6;4;;;;;2;1;1,4;2,75;1,39;2,84;1,444;2,625;1,478;2,91;1,4;2,75
Sony Ericsson Open;26/03/2010;Masters 1000;Hard;2nd Round;Nadal R.;Dent T.;4;83;6800;596;6;4;6;3;;;;;;;2;0;1,04;10;1,05;8,5;1,05;8,5;1,049;14,7;1,05;8
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Nalbandian D.;Troicki V.;161;35;300;1155;6;3;4;6;6;4;;;;;2;1;1,5;2,5;1,53;2,4;1,5;2,5;1,481;2,9;1,533;2,375
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Stakhovsky S.;Benneteau J.;72;37;669;1109;6;3;7;6;;;;;;;2;0;2,25;1,57;2,2;1,6;2,2;1,615;2,45;1,637;2,375;1,533
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Isner J.;Russell M.;21;68;1720;688;7;6;2;6;7;6;;;;;2;1;1,25;3,75;1,25;3,8;1,25;3,75;1,27;4,3;1,25;3,5
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Becker B.;Ljubicic I.;39;13;981;2340;4;6;0;1;;;;;;;0;1;3,5;1,28;3,4;1,3;3,4;1,3;3,39;1,38;3;1,333
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Tsonga J.W.;Garcia-Lopez G.;10;41;2915;949;6;4;6;3;;;;;;;2;0;1,16;4,5;1,2;4,25;1,167;4,5;1,259;4,44;1,167;4,5
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Roddick A.;Andreev I.;8;40;3960;950;6;4;6;4;;;;;;;2;0;1,12;5,5;1,15;4,9;1,143;5;1,171;6,04;1,143;5
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Petzschner P.;Tipsarevic J.;53;36;817;1110;6;4;6;0;;;;;;;2;0;2,2;1,61;2,1;1,7;2,2;1,615;2,02;1,909;2,2;1,615
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Verdasco F.;Sela D.;12;71;2725;675;6;1;6;2;;;;;;;2;0;1,14;5;1,14;5,2;1,143;5;1,194;5,49;1,143;5
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Youzhny M.;Giraldo S.;15;88;2225;567;6;0;6;1;;;;;;;2;0;1,28;3,5;1,28;3,46;1,286;3,5;1,385;3,36;1,286;3,5
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Serra F.;Montanes A.;61;31;735;1320;6;3;3;6;6;2;;;;;2;1;1,53;2,37;1,45;2,6;1,5;2,5;1,588;2,56;1,533;2,375
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Wawrinka S.;Anderson K.;23;114;1675;464;6;4;7;5;;;;;;;2;0;1,4;2,75;1,45;2,6;1,364;3;1,463;2,98;1,333;3
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Baghdatis M.;Chela J.I.;30;84;1325;594;6;2;6;4;;;;;;;2;0;1,12;5,5;1,17;4,65;1,143;5;1,147;6,77;1,143;5,5
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Lopez F.;Berrer M.;34;51;1205;842;7;6;7;5;;;;;;;2;0;1,66;2,1;1,7;2,1;1,615;2,2;1,685;2,35;1,615;2,2
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Soderling R.;Luczak P.;7;75;4245;627;7;6;6;0;;;;;;;2;0;1,07;7,5;1,09;6,75;1,08;7;1,078;10,75;1,071;7
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Melzer J.;Falla A.;28;70;1450;677;6;3;6;4;;;;;;;2;0;1,28;3,5;1,3;3,35;1,286;3,5;1,345;3,62;1,286;3,25
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Fish M.;Murray A.;101;3;505;6835;6;4;6;4;;;;;;;2;0;7;1,08;4,9;1,15;5;1,143;6,61;1,152;5,5;1,143
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Monaco J.;Ilhan M.;26;125;1610;423;6;2;7;5;;;;;;;2;0;1,33;3,25;1,35;3,1;1,286;3,5;1,377;3,41;1,333;3
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Gonzalez F.;Lu Y.H.;11;99;2835;523;6;4;6;4;;;;;;;2;0;1,3;3,4;1,3;3,35;1,25;3,75;1,334;3,7;1,25;3,75
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Cilic M.;Robert S.;9;63;2935;720;6;3;6;1;;;;;;;2;0;1,12;5,5;1,14;5,2;1,12;5,5;1,167;6,16;1,125;5,5
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Zeballos H.;Simon G.;58;24;756;1665;6;2;6;3;;;;;;;2;0;2,75;1,4;2,6;1,45;2,75;1,4;2,95;1,469;2,875;1,4
Sony Ericsson Open;27/03/2010;Masters 1000;Hard;2nd Round;Berdych T.;De Bakker T.;20;76;1760;623;6;3;6;4;;;;;;;2;0;1,16;4,5;1,2;4,25;1,2;4,333;1,211;5,17;1,2;4
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;2nd Round;Federer R.;Lapentti N.;1;102;11035;505;6;3;6;3;;;;;;;2;0;1,01;15;1,02;11,5;1,01;17;1,01;33,89;1,01;15
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;3rd Round;Almagro N.;Chardy J.;38;48;1050;885;6;2;6;7;6;3;;;;;2;1;1,61;2,2;1,65;2,15;1,615;2,2;1,752;2,23;1,615;2,25
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;3rd Round;Nadal R.;Nalbandian D.;4;161;6800;300;6;7;6;2;6;2;;;;;2;1;1,22;4;1,23;3,89;1,222;4;1,25;4,55;1,222;4
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;3rd Round;Bellucci T.;Rochus O.;32;59;1254;754;6;3;6;4;;;;;;;2;0;1,53;2,37;1,55;2,35;1,571;2,25;1,61;2,51;1,571;2,25
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;3rd Round;Ferrer D.;Karlovic I.;17;29;2045;1350;7;6;6;3;;;;;;;2;0;1,53;2,37;1,65;2,15;1,571;2,25;1,549;2,67;1,571;2,25
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;3rd Round;Becker B.;Robredo T.;39;22;981;1685;1;6;6;4;7;6;;;;;2;1;3;1,36;2,6;1,45;2,75;1,4;3,14;1,426;3,75;1,25
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;3rd Round;Ferrero J.C.;Isner J.;14;21;2265;1720;6;2;3;6;6;3;;;;;2;1;2;1,72;2,15;1,65;2;1,727;2,18;1,781;2;1,727
Sony Ericsson Open;28/03/2010;Masters 1000;Hard;3rd Round;Roddick A.;Stakhovsky S.;8;72;3960;669;6;2;6;1;;;;;;;2;0;1,07;8;1,09;6,75;1,1;6,5;1,071;11,5;1,1;6
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Tsonga J.W.;Kohlschreiber P.;10;33;2915;1230;6;2;7;5;;;;;;;2;0;1,4;2,75;1,4;2,8;1,4;2,75;1,478;2,91;1,4;2,875
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Fish M.;Lopez F.;101;34;505;1205;7;5;6;3;;;;;;;2;0;1,57;2,25;1,65;2,15;1,667;2,1;1,746;2,24;1,615;2,2
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Federer R.;Serra F.;1;61;11035;735;7;6;7;6;;;;;;;2;0;1,01;13;1,02;11,5;1,02;11;1,022;26;1,03;10
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Youzhny M.;Wawrinka S.;15;23;2225;1675;1;6;7;6;7;5;;;;;2;1;1,57;2,25;1,6;2,3;1,571;2,25;1,617;2,49;1,571;2,375
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Berdych T.;Zeballos H.;20;58;1760;756;6;4;7;5;;;;;;;2;0;1,14;5;1,2;4,25;1,167;4,5;1,188;5,63;1,182;4,333
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Cilic M.;Baghdatis M.;9;30;2935;1325;6;3;6;4;;;;;;;2;0;1,57;2,25;1,65;2,15;1,66;2,1;1,73;2,26;1,571;2,25
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Soderling R.;Petzschner P.;7;53;4245;817;6;1;6;2;;;;;;;2;0;1,12;5,5;1,17;4,65;1,14;5;1,155;6,5;1,143;5,5
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Verdasco F.;Melzer J.;12;28;2725;1450;3;6;7;6;6;1;;;;;2;1;1,33;3,25;1,35;3,1;1,333;3,25;1,385;3,36;1,333;3
Sony Ericsson Open;29/03/2010;Masters 1000;Hard;3rd Round;Gonzalez F.;Monaco J.;11;26;2835;1610;6;7;6;4;6;2;;;;;2;1;1,38;2,87;1,35;3,1;1,44;2,62;;;1,444;2,625
Sony Ericsson Open;30/03/2010;Masters 1000;Hard;4th Round;Tsonga J.W.;Ferrero J.C.;10;14;2915;2265;6;2;6;2;;;;;;;2;0;1,36;3;1,4;2,85;1,4;2,75;1,422;3,16;1,364;2,875
Sony Ericsson Open;30/03/2010;Masters 1000;Hard;4th Round;Almagro N.;Bellucci T.;38;32;1050;1254;6;4;3;6;7;6;;;;;2;1;1,61;2,2;1,65;2,15;1,615;2,2;1,862;2,07;1,667;2,2
Sony Ericsson Open;30/03/2010;Masters 1000;Hard;4th Round;Youzhny M.;Fish M.;15;101;2225;505;6;1;1;0;;;;;;;1;0;1,66;2,1;1,7;2,1;1,727;2;1,746;2,24;1,667;2,2
Sony Ericsson Open;30/03/2010;Masters 1000;Hard;4th Round;Roddick A.;Becker B.;8;39;3960;981;7;6;6;3;;;;;;;2;0;1,05;9;1,07;7,25;1,063;8;1,071;11,5;1,05;9
Sony Ericsson Open;30/03/2010;Masters 1000;Hard;4th Round;Soderling R.;Gonzalez F.;7;11;4245;2835;6;0;6;7;6;2;;;;;2;1;1,4;2,75;1,45;2,6;1,44;2,63;1,415;3,2;1,364;3
Sony Ericsson Open;30/03/2010;Masters 1000;Hard;4th Round;Nadal R.;Ferrer D.;4;17;6800;2045;7;6;6;4;;;;;;;2;0;1,22;4;1,23;3,89;1,222;4;1,281;4,19;1,222;4
Sony Ericsson Open;30/03/2010;Masters 1000;Hard;4th Round;Verdasco F.;Cilic M.;12;9;2725;2935;6;4;7;6;;;;;;;2;0;2,37;1,53;2,15;1,65;2,25;1,57;2,52;1,606;2,25;1,571
Sony Ericsson Open;31/03/2010;Masters 1000;Hard;4th Round;Berdych T.;Federer R.;20;1;1760;11035;6;4;6;7;7;6;;;;;2;1;5;1,14;4,65;1,17;4,333;1,2;5,55;1,191;4,5;1,2
Sony Ericsson Open;31/03/2010;Masters 1000;Hard;Quarterfinals;Roddick A.;Almagro N.;8;38;3960;1050;6;3;6;3;;;;;;;2;0;1,16;5;1,17;4,65;1,167;4,5;1,227;4,88;1,2;4,333
Sony Ericsson Open;01/04/2010;Masters 1000;Hard;Quarterfinals;Nadal R.;Tsonga J.W.;4;10;6800;2915;6;3;6;2;;;;;;;2;0;1,4;2,87;1,6;2,3;1,5;2,5;1,498;2,84;1,533;2,5
Sony Ericsson Open;01/04/2010;Masters 1000;Hard;Quarterfinals;Berdych T.;Verdasco F.;20;12;1760;2725;4;6;7;6;6;4;;;;;2;1;1,9;1,9;1,8;1,95;1,8;1,909;1,952;1,971;1,909;1,909
Sony Ericsson Open;01/04/2010;Masters 1000;Hard;Quarterfinals;Soderling R.;Youzhny M.;7;15;4245;2225;6;1;6;4;;;;;;;2;0;1,33;3,4;1,37;2,92;1,36;3;1,376;3,41;1,3;3,4
Sony Ericsson Open;02/04/2010;Masters 1000;Hard;Semifinals;Roddick A.;Nadal R.;8;4;3960;6800;4;6;6;3;6;3;;;;;2;1;3;1,4;2,8;1,4;2,75;1,4;3,06;1,442;2,875;1,4
Sony Ericsson Open;02/04/2010;Masters 1000;Hard;Semifinals;Berdych T.;Soderling R.;20;7;1760;4245;6;2;6;2;;;;;;;2;0;3,4;1,33;3,1;1,35;3;1,36;3,43;1,373;3,25;1,333
Sony Ericsson Open;04/04/2010;Masters 1000;Hard;The Final;Roddick A.;Berdych T.;8;20;3960;1760;7;5;6;4;;;;;;;2;0;1,5;2,62;1,5;2,45;1,5;2,5;1,562;2,64;1,533;2,5
Grand Prix Hassan II;05/04/2010;ATP250;Clay;1st Round;Starace P.;Luczak P.;73;75;667;644;6;3;7;5;;;;;;;2;0;1,72;2;1,8;1,95;1,833;1,833;1,787;2,17;1,8;1,909
Grand Prix Hassan II;05/04/2010;ATP250;Clay;1st Round;Hernandez O.;Mathieu P.H.;84;48;593;875;7;6;6;3;;;;;;;2;0;4,33;1,2;3,75;1,25;4;1,222;4,6;1,247;4;1,2
Grand Prix Hassan II;05/04/2010;ATP250;Clay;1st Round;Granollers M.;Haase R.;87;207;573;215;7;6;7;6;;;;;;;2;0;1,4;2,75;1,55;2,35;1,5;2,5;1,426;3,14;1,533;2,375
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Nieminen J.;Ziadi M.;71;908;678;10;6;1;6;1;;;;;;;2;0;1,04;10;1,07;7,25;1,04;9;1,05;14,8;1,071;7
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Serra F.;Ventura S.;57;123;770;436;6;4;6;3;;;;;;;2;0;1,22;4;1,3;3,35;1,286;3,5;1,29;4,09;1,25;3,5
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;El Amrani R.;Gabashvili T.;286;112;155;473;7;6;4;6;7;6;;;;;2;1;4,5;1,16;4,65;1,17;4;1,222;4,39;1,263;3,5;1,25
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Hajek J.;Greul S.;81;58;613;769;7;6;6;4;;;;;;;2;0;2,25;1,57;2,35;1,55;2,25;1,571;2,53;1,602;2,25;1,571
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Robert S.;Koubek S.;65;124;715;432;6;3;5;7;7;5;;;;;2;1;1,57;2,25;1,55;2,35;1,533;2,375;1,671;2,37;1,615;2,2
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Golubev A.;Koellerer D.;88;93;572;550;6;2;7;6;;;;;;;2;0;1,83;1,83;1,75;2;1,727;2;1,901;2,03;;
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Clement A.;Navarro-Pastor I.;80;113;617;466;6;3;6;3;;;;;;;2;0;1,9;1,8;1,8;1,95;1,8;1,909;2,04;1,885;1,833;1,833
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Gasquet R.;Rochus O.;74;55;650;786;6;1;6;1;;;;;;;2;0;1,44;2,62;1,5;2,45;1,444;2,625;1,524;2,75;1,533;2,375
Grand Prix Hassan II;06/04/2010;ATP250;Clay;1st Round;Klizan M.;Dolgopolov O.;212;70;214;683;4;6;6;1;7;5;;;;;2;1;3;1,36;;;2,75;1,4;3,5;1,362;2,75;1,4
Grand Prix Hassan II;07/04/2010;ATP250;Clay;2nd Round;Starace P.;Hernandez O.;73;84;667;593;6;2;6;1;;;;;;;2;0;1,36;3;1,4;2,8;1,4;2,75;1,386;3,35;1,4;2,75
Grand Prix Hassan II;07/04/2010;ATP250;Clay;2nd Round;Garcia-Lopez G.;Granollers M.;40;87;964;573;6;3;6;2;;;;;;;2;0;1,72;2;1,75;2;1,8;1,91;1,82;2,13;1,727;2
Grand Prix Hassan II;07/04/2010;ATP250;Clay;2nd Round;Serra F.;Robert S.;57;65;770;715;2;6;6;1;6;3;;;;;2;1;1,5;2,5;1,45;2,6;1,444;2,625;1,526;2,74;1,444;2,625
Grand Prix Hassan II;07/04/2010;ATP250;Clay;2nd Round;Kubot L.;Clement A.;42;80;922;617;6;4;6;1;;;;;;;2;0;1,53;2,37;1,55;2,35;1,571;2,25;1,645;2,43;1,615;2,2
Grand Prix Hassan II;08/04/2010;ATP250;Clay;2nd Round;Hanescu V.;Nieminen J.;43;71;920;678;2;6;6;3;6;2;;;;;2;1;2,25;1,57;2,15;1,65;2,2;1,62;2,45;1,637;2,25;1,571
Grand Prix Hassan II;08/04/2010;ATP250;Clay;2nd Round;Wawrinka S.;Klizan M.;23;212;1630;214;6;4;0;6;6;4;;;;;2;1;1,14;5;1,2;4,25;1,143;5;1,235;4,77;1,167;4,5
Grand Prix Hassan II;08/04/2010;ATP250;Clay;2nd Round;El Amrani R.;Hajek J.;286;81;155;613;6;3;2;6;6;2;;;;;2;1;4;1,22;4,25;1,2;4;1,222;4,09;1,29;3,5;1,25
Grand Prix Hassan II;08/04/2010;ATP250;Clay;2nd Round;Gasquet R.;Golubev A.;74;88;650;572;6;1;6;1;;;;;;;2;0;1,25;3,75;1,3;3,35;1,3;3,4;1,299;4;1,286;3,25
Grand Prix Hassan II;09/04/2010;ATP250;Clay;Quarterfinals;Starace P.;Kubot L.;73;42;667;922;6;1;6;0;;;;;;;2;0;2,2;1,61;1,95;1,8;2;1,727;2,18;1,781;2;1,727
Grand Prix Hassan II;09/04/2010;ATP250;Clay;Quarterfinals;Wawrinka S.;El Amrani R.;23;286;1630;155;6;3;6;1;;;;;;;2;0;1,1;6,5;1,14;5,2;1,1;6,5;1,138;7,1;1,071;7
Grand Prix Hassan II;09/04/2010;ATP250;Clay;Quarterfinals;Serra F.;Garcia-Lopez G.;57;40;770;964;6;2;6;2;;;;;;;2;0;2,2;1,61;2,43;1,55;2,1;1,67;2,28;1,719;2,1;1,667
Grand Prix Hassan II;09/04/2010;ATP250;Clay;Quarterfinals;Hanescu V.;Gasquet R.;43;74;920;650;7;6;4;6;6;3;;;;;2;1;3,5;1,28;3,75;1,25;3,4;1,3;3,44;1,372;3,25;1,286
Grand Prix Hassan II;10/04/2010;ATP250;Clay;Semifinals;Wawrinka S.;Starace P.;23;73;1630;667;6;4;3;6;6;4;;;;;2;1;1,36;3;1,4;2,85;1,4;2,75;1,562;2,64;1,5;2,625
Grand Prix Hassan II;10/04/2010;ATP250;Clay;Semifinals;Hanescu V.;Serra F.;43;57;920;770;6;4;6;1;;;;;;;2;0;2,1;1,66;1,95;1,8;2;1,72;2,27;1,725;2,1;1,727
Grand Prix Hassan II;11/04/2010;ATP250;Clay;The Final;Wawrinka S.;Hanescu V.;23;43;1630;920;6;2;6;3;;;;;;;2;0;1,57;2,37;1,53;2,4;1,57;2,25;1,725;2,27;1,615;2,25
U.S. Men's Clay Court Championships;05/04/2010;ATP250;Clay;1st Round;Kavcic B.;Istomin D.;100;79;529;618;6;3;4;6;6;3;;;;;2;1;2,37;1,53;2,3;1,6;2,25;1,571;2,65;1,556;2,25;1,571
U.S. Men's Clay Court Championships;05/04/2010;ATP250;Clay;1st Round;Odesnik W.;Janowicz J.;103;293;524;149;6;3;6;4;;;;;;;2;0;1,4;2,75;1,45;2,6;1,444;2,625;1,377;3,41;1,444;2,625
U.S. Men's Clay Court Championships;06/04/2010;ATP250;Clay;1st Round;Sela D.;Levine J.;69;110;683;477;6;4;7;6;;;;;;;2;0;1,44;2,62;1,5;2,45;1,5;2,5;1,5;2,83;1,533;2,375
U.S. Men's Clay Court Championships;06/04/2010;ATP250;Clay;1st Round;Schwank E.;Daniel M.;61;111;733;477;6;3;6;2;;;;;;;2;0;1,3;3,4;1,28;3,46;1,3;3,4;1,403;3,26;1,286;3,25
U.S. Men's Clay Court Championships;06/04/2010;ATP250;Clay;1st Round;Massu N.;Zverev M.;94;86;543;574;6;4;6;2;;;;;;;2;0;1,66;2,1;1,7;2,1;1,667;2,1;1,82;2,13;1,667;2,1
U.S. Men's Clay Court Championships;06/04/2010;ATP250;Clay;1st Round;Chela J.I.;Ram R.;82;85;609;593;6;2;3;0;;;;;;;1;0;1,11;6;1,14;5,2;1,167;4,5;1,172;6;;
U.S. Men's Clay Court Championships;06/04/2010;ATP250;Clay;1st Round;Sweeting R.;Korolev E.;150;60;330;760;6;3;4;6;6;2;;;;;2;1;2,62;1,44;2,45;1,5;2,625;1,444;2,92;1,476;2,75;1,4
